"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
15,0.0,0.0,11.65,11.648,11.645,11.641,11.64,11.653,11.664,11.665,11.666,11.669,3213.48629757,6,13.43484261,124.37558081,253,208.192,1800,4.629223,614.29,135.81316499,20180423 14:15:37.414754,20000101 00:00:00.000000,1
16,11.65,1887.6089,11.65,11.648,11.645,11.641,11.64,11.653,11.664,11.665,11.666,11.669,3213.48629757,6,13.43484261,124.37558081,253,208.192,1800,4.629223,614.29,135.81316499,20180423 14:15:37.414754,20180423 14:14:38.000000,2
36,11.65,1887.6089,11.65,11.648,11.645,11.641,11.64,11.653,11.664,11.665,11.666,11.669,1325.87739757,6,13.43484261,124.37558081,253,208.192,1800,4.629223,614.29,135.81316499,20180423 14:15:37.804219,20180423 14:14:38.000000,1
37,11.65,1887.6089,11.65,11.648,11.645,11.641,11.64,11.653,11.664,11.665,11.666,11.669,1325.87739757,6,13.43484261,124.37558081,253,208.192,2286.17218167,4.629223,614.29,135.81316499,20180423 14:15:38.048734,20180423 14:14:38.000000,1
38,11.65,1887.6089,11.65,11.648,11.645,11.641,11.64,11.653,11.664,11.665,11.666,11.669,1325.87739757,6,13.43484261,124.37558081,253,208.192,2286.17218167,4.629223,214.29,135.81316499,20180423 14:15:38.056132,20180423 14:14:38.000000,1
55,11.65,33.00002077,11.65,11.648,11.645,11.641,11.64,11.653,11.664,11.665,11.666,11.669,1325.87739757,6,13.43484261,124.37558081,253,208.192,2286.17218167,4.629223,214.29,135.81316499,20180423 14:15:38.066565,20180423 14:14:38.000000,2
57,11.65,33.00002077,11.65,11.648,11.645,11.641,11.64,11.653,11.664,11.665,11.666,11.67,1325.87739757,6,13.43484261,124.37558081,253,208.192,2286.17218167,4.629223,214.29,181.47312871,20180423 14:15:38.159583,20180423 14:14:38.000000,1
58,11.65,33.00002077,11.65,11.648,11.645,11.641,11.64,11.653,11.664,11.665,11.666,11.671,1325.87739757,6,13.43484261,124.37558081,253,208.192,2286.17218167,4.629223,214.29,164.49468685,20180423 14:15:38.162550,20180423 14:14:38.000000,1
59,11.65,33.00002077,11.65,11.648,11.645,11.641,11.64,11.653,11.664,11.665,11.666,11.671,1292.8773768,6,13.43484261,124.37558081,253,208.192,2286.17218167,4.629223,214.29,164.49468685,20180423 14:15:38.163877,20180423 14:14:38.000000,1
60,11.65,33.00002077,11.65,11.648,11.645,11.641,11.64,11.653,11.664,11.665,11.666,11.671,1292.8773768,6,13.43484261,10,253,208.192,2286.17218167,4.629223,214.29,164.49468685,20180423 14:15:38.166270,20180423 14:14:38.000000,1
61,11.65,33.00002077,11.65,11.648,11.645,11.641,11.64,11.652,11.653,11.664,11.665,11.666,1292.8773768,6,13.43484261,10,253,86.17218167,208.192,2286.17218167,4.629223,214.29,20180423 14:15:38.173856,20180423 14:14:38.000000,1
62,11.65,33.00002077,11.65,11.648,11.645,11.641,11.64,11.652,11.653,11.663,11.664,11.665,1292.8773768,6,13.43484261,10,253,86.17218167,208.192,717.2862937,2286.17218167,4.629223,20180423 14:15:38.175156,20180423 14:14:38.000000,1
63,11.65,33.00002077,11.65,11.648,11.645,11.641,11.64,11.652,11.653,11.663,11.664,11.665,1292.8773768,6,13.43484261,10,253,86.17218167,208.192,717.2862937,1800,4.629223,20180423 14:15:38.178327,20180423 14:14:38.000000,1
82,11.65,33.00002077,11.65,11.648,11.645,11.641,11.64,11.652,11.653,11.662,11.663,11.664,1292.8773768,6,13.43484261,10,253,86.17218167,208.192,400,717.2862937,1800,20180423 14:15:38.542222,20180423 14:14:38.000000,1
83,11.65,33.00002077,11.65,11.648,11.645,11.641,11.64,11.652,11.653,11.662,11.663,11.664,1292.8773768,6,13.43484261,10,253,86.17218167,208.192,400,317.2862937,1800,20180423 14:15:38.543555,20180423 14:14:38.000000,1
84,11.65,7.3276546,11.65,11.648,11.645,11.641,11.64,11.652,11.653,11.662,11.663,11.664,1292.8773768,6,13.43484261,10,253,86.17218167,208.192,400,317.2862937,1800,20180423 14:15:38.551296,20180423 14:14:39.000000,2
99,11.65,28.61070509,11.65,11.648,11.645,11.641,11.64,11.652,11.653,11.662,11.663,11.664,1292.8773768,6,13.43484261,10,253,86.17218167,208.192,400,317.2862937,1800,20180423 14:15:38.551296,20180423 14:14:39.000000,2
102,11.65,28.61070509,11.65,11.648,11.645,11.641,11.64,11.652,11.662,11.663,11.664,11.665,1292.8773768,6,13.43484261,10,253,86.17218167,400,317.2862937,1800,4.629223,20180423 14:15:38.972103,20180423 14:14:39.000000,1
103,11.65,28.61070509,11.65,11.648,11.645,11.641,11.64,11.652,11.662,11.663,11.664,11.665,1256.93901711,6,13.43484261,10,253,86.17218167,400,317.2862937,1800,4.629223,20180423 14:15:38.975557,20180423 14:14:39.000000,1
104,11.65,28.61070509,11.65,11.648,11.645,11.641,11.64,11.652,11.659,11.662,11.663,11.664,1256.93901711,6,13.43484261,10,253,86.17218167,383.1315524,400,317.2862937,1800,20180423 14:15:38.981005,20180423 14:14:39.000000,1
105,11.65,28.61070509,11.65,11.648,11.645,11.641,11.64,11.652,11.659,11.661,11.662,11.663,1256.93901711,6,13.43484261,10,253,86.17218167,383.1315524,135.81312816,400,317.2862937,20180423 14:15:38.982346,20180423 14:14:39.000000,1
106,11.65,28.61070509,11.65,11.648,11.645,11.641,11.64,11.652,11.659,11.661,11.662,11.663,1256.93901711,6,13.43484261,10,253,86.17218167,383.1315524,135.81312816,400,229.47312871,20180423 14:15:38.983664,20180423 14:14:39.000000,1
118,11.65,28.61070509,11.65,11.648,11.645,11.641,11.64,11.652,11.659,11.661,11.662,11.663,1256.93901711,6,13.43484261,10,253,294.36418167,383.1315524,135.81312816,400,229.47312871,20180423 14:15:39.334184,20180423 14:14:39.000000,1
119,11.65,28.61070509,11.65,11.648,11.645,11.641,11.64,11.652,11.659,11.661,11.662,11.663,1256.93901711,6,13.43484261,10,253,294.36418167,383.1315524,135.81312816,404.629223,229.47312871,20180423 14:15:39.335618,20180423 14:14:39.000000,1
129,11.65,39,11.65,11.648,11.645,11.641,11.64,11.652,11.659,11.661,11.662,11.663,1256.93901711,6,13.43484261,10,253,294.36418167,383.1315524,135.81312816,404.629223,229.47312871,20180423 14:15:39.345516,20180423 14:14:40.000000,2
133,11.65,39,11.65,11.648,11.645,11.641,11.64,11.652,11.659,11.661,11.662,11.663,1256.93901711,6,13.43484261,10,253,591.30473067,383.1315524,135.81312816,404.629223,229.47312871,20180423 14:15:39.664391,20180423 14:14:40.000000,1
134,11.65,39,11.65,11.648,11.645,11.641,11.64,11.652,11.658,11.659,11.661,11.662,1256.93901711,6,13.43484261,10,253,591.30473067,86.17218167,383.1315524,135.81312816,404.629223,20180423 14:15:39.665754,20180423 14:14:40.000000,1
135,11.65,39,11.65,11.648,11.645,11.641,11.64,11.652,11.658,11.659,11.661,11.662,1256.93901711,6,13.43484261,10,253,591.30473067,86.17218167,383.1315524,135.81312816,4.629223,20180423 14:15:39.667785,20180423 14:14:40.000000,1
147,11.65,30,11.65,11.648,11.645,11.641,11.64,11.652,11.658,11.659,11.661,11.662,1256.93901711,6,13.43484261,10,253,591.30473067,86.17218167,383.1315524,135.81312816,4.629223,20180423 14:15:39.674874,20180423 14:14:40.000000,2
