"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
2,0.0,0.0,644.38,644.27,644.18,643.85,643.78,644.39,644.4,644.48,644.57,644.66,4.2191,4.60813,0.4,1,10.78624,42.17760301,2,0.20011992,2.0723,0.62000605,20180423 14:15:36.908406,20000101 00:00:00.000000,1
3,644.38,12,644.38,644.27,644.18,643.85,643.78,644.39,644.4,644.48,644.57,644.66,4.2191,4.60813,0.4,1,10.78624,42.17760301,2,0.20011992,2.0723,0.62000605,20180423 14:15:36.908406,20180423 14:14:37.000000,2
4,644.27,4.60813,644.38,644.27,644.18,643.85,643.78,644.39,644.4,644.48,644.57,644.66,4.2191,4.60813,0.4,1,10.78624,42.17760301,2,0.20011992,2.0723,0.62000605,20180423 14:15:36.908406,20180423 14:14:37.000000,2
6,644.27,4.60813,644.27,644.18,643.85,643.78,643.64,644.39,644.4,644.48,644.57,644.66,4.60813,0.4,1,10.78624,6.90827667,42.17760301,2,0.20011992,2.0723,0.62000605,20180423 14:15:37.261105,20180423 14:14:37.000000,1
7,644.27,4.60813,644.18,643.85,643.78,643.64,643.54,644.39,644.4,644.48,644.57,644.66,0.4,1,10.78624,6.90827667,56.4997,42.17760301,2,0.20011992,2.0723,0.62000605,20180423 14:15:37.262518,20180423 14:14:37.000000,1
8,644.27,4.60813,643.85,643.78,643.64,643.54,643.51,644.39,644.4,644.48,644.57,644.66,1,10.78624,6.90827667,56.4997,23,42.17760301,2,0.20011992,2.0723,0.62000605,20180423 14:15:37.263764,20180423 14:14:37.000000,1
9,644.27,4.60813,643.85,643.78,643.64,643.54,643.5,644.39,644.4,644.48,644.57,644.66,1,10.78624,6.90827667,56.4997,0.05851933,42.17760301,2,0.20011992,2.0723,0.62000605,20180423 14:15:37.266005,20180423 14:14:37.000000,1
10,644.27,4.60813,643.85,643.78,643.65,643.64,643.54,644.39,644.4,644.48,644.57,644.66,1,10.78624,16.572397,6.90827667,56.4997,42.17760301,2,0.20011992,2.0723,0.62000605,20180423 14:15:37.274365,20180423 14:14:37.000000,1
11,644.27,4.60813,643.85,643.78,643.65,643.64,643.54,644,644.39,644.4,644.48,644.57,1,10.78624,16.572397,6.90827667,56.4997,367.74277,42.17760301,2,0.20011992,2.0723,20180423 14:15:37.278559,20180423 14:14:37.000000,1
12,644.27,4.60813,643.85,643.78,643.65,643.64,643.54,644,644.39,644.4,644.48,644.57,1,10.78624,16.572397,6.90827667,56.4997,367.74277,62.17760301,2,0.20011992,2.0723,20180423 14:15:37.279793,20180423 14:14:37.000000,1
19,643.78,2.25909525,643.85,643.78,643.65,643.64,643.54,644,644.39,644.4,644.48,644.57,1,10.78624,16.572397,6.90827667,56.4997,367.74277,62.17760301,2,0.20011992,2.0723,20180423 14:15:37.285221,20180423 14:14:38.000000,2
20,643.86,14.95613909,643.85,643.78,643.65,643.64,643.54,644,644.39,644.4,644.48,644.57,1,10.78624,16.572397,6.90827667,56.4997,367.74277,62.17760301,2,0.20011992,2.0723,20180423 14:15:37.285221,20180423 14:14:38.000000,2
21,643.86,14.95613909,643.78,643.65,643.64,643.54,643.5,644,644.39,644.4,644.48,644.57,10.78624,16.572397,6.90827667,56.4997,0.05851933,367.74277,62.17760301,2,0.20011992,2.0723,20180423 14:15:37.649839,20180423 14:14:38.000000,1
22,643.86,14.95613909,643.78,643.64,643.54,643.5,643.44,644,644.39,644.4,644.48,644.57,10.78624,6.90827667,56.4997,0.05851933,78.58618999,367.74277,62.17760301,2,0.20011992,2.0723,20180423 14:15:37.651167,20180423 14:14:38.000000,1
