"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
13,0.0,0.0,151.8,151.79,151.75,151.7,151.69,151.91,151.92,151.94,151.95,151.99,18.8,20.64421574,0.5,4,3.75659367,18.65100734,32.8638,4.93307463,0.1,50.49471534,20180423 14:15:37.302399,20000101 00:00:00.000000,1
14,151.8,7.111586,151.8,151.79,151.75,151.7,151.69,151.91,151.92,151.94,151.95,151.99,18.8,20.64421574,0.5,4,3.75659367,18.65100734,32.8638,4.93307463,0.1,50.49471534,20180423 14:15:37.302399,20180423 14:14:38.000000,2
29,151.8,7.111586,151.79,151.75,151.7,151.69,151.62,151.91,151.92,151.94,151.95,151.99,20.64421574,0.5,4,3.75659367,32.8788,18.65100734,32.8638,4.93307463,0.1,50.49471534,20180423 14:15:37.720019,20180423 14:14:38.000000,1
30,151.8,7.111586,151.79,151.75,151.7,151.69,151.56,151.91,151.92,151.94,151.95,151.99,20.64421574,0.5,4,3.75659367,4,18.65100734,32.8638,4.93307463,0.1,50.49471534,20180423 14:15:37.730741,20180423 14:14:38.000000,1
31,151.8,7.111586,151.79,151.75,151.7,151.69,151.56,151.91,151.94,151.95,151.99,152,20.64421574,0.5,4,3.75659367,4,18.65100734,4.93307463,0.1,50.49471534,53.46707048,20180423 14:15:37.732007,20180423 14:14:38.000000,1
32,151.8,7.111586,151.79,151.75,151.7,151.69,151.56,151.91,151.94,151.95,151.99,152,20.64421574,0.5,4,3.75659367,4,2.81969947,4.93307463,0.1,50.49471534,53.46707048,20180423 14:15:37.750271,20180423 14:14:38.000000,1
33,151.8,7.111586,151.79,151.75,151.7,151.69,151.56,151.91,151.93,151.94,151.95,151.99,20.64421574,0.5,4,3.75659367,4,2.81969947,22.626,4.93307463,0.1,50.49471534,20180423 14:15:37.754059,20180423 14:14:38.000000,1
34,151.8,7.111586,151.79,151.75,151.7,151.69,151.56,151.91,151.93,151.94,151.95,151.98,20.64421574,0.5,4,3.75659367,4,2.81969947,22.626,4.93307463,0.1,15.83130786,20180423 14:15:37.755898,20180423 14:14:38.000000,1
51,151.8,7.111586,151.79,151.75,151.7,151.69,151.56,151.91,151.93,151.94,151.95,151.99,20.64421574,0.5,4,3.75659367,4,2.81969947,22.626,4.93307463,0.1,50.49471534,20180423 14:15:38.142861,20180423 14:14:38.000000,1
52,151.8,7.111586,151.79,151.75,151.7,151.69,151.56,151.91,151.93,151.94,151.95,152,20.64421574,0.5,4,3.75659367,4,2.81969947,22.626,4.93307463,0.1,86.29657048,20180423 14:15:38.144094,20180423 14:14:38.000000,1
53,151.8,7.111586,151.8,151.79,151.75,151.7,151.69,151.91,151.93,151.94,151.95,152,11.6,20.64421574,0.5,4,3.75659367,2.81969947,22.626,4.93307463,0.1,86.29657048,20180423 14:15:38.145319,20180423 14:14:38.000000,1
54,151.8,7.111586,151.8,151.79,151.75,151.7,151.69,151.9,151.91,151.93,151.94,151.95,11.6,20.64421574,0.5,4,3.75659367,137.49230786,2.81969947,22.626,4.93307463,0.1,20180423 14:15:38.148680,20180423 14:14:38.000000,1
80,151.8,7.111586,151.8,151.79,151.75,151.69,151.56,151.9,151.91,151.93,151.94,151.95,11.6,20.64421574,0.5,3.75659367,4,137.49230786,2.81969947,22.626,4.93307463,0.1,20180423 14:15:38.396647,20180423 14:14:38.000000,1
81,151.8,7.111586,151.8,151.79,151.75,151.69,151.56,151.9,151.91,151.93,151.94,151.95,19.8,20.64421574,0.5,3.75659367,4,137.49230786,2.81969947,22.626,4.93307463,0.1,20180423 14:15:38.405277,20180423 14:14:38.000000,1
98,151.8,7.111586,151.79,151.75,151.69,151.56,151.53,151.9,151.91,151.93,151.94,151.95,20.64421574,0.5,3.75659367,4,0.08,137.49230786,2.81969947,22.626,4.93307463,0.1,20180423 14:15:38.771784,20180423 14:14:38.000000,1
126,151.8,7.111586,151.79,151.75,151.69,151.56,151.53,151.89,151.9,151.91,151.93,151.94,20.64421574,0.5,3.75659367,4,0.08,118.386,137.49230786,2.81969947,22.626,4.93307463,20180423 14:15:39.481709,20180423 14:14:38.000000,1
145,151.8,7.111586,151.79,151.75,151.69,151.56,151.53,151.89,151.9,151.91,151.94,151.95,20.64421574,0.5,3.75659367,4,0.08,118.386,137.49230786,2.81969947,4.93307463,0.1,20180423 14:15:39.851792,20180423 14:14:38.000000,1
146,151.8,7.111586,151.79,151.75,151.69,151.57,151.56,151.89,151.9,151.91,151.94,151.95,20.64421574,0.5,3.75659367,4,4,118.386,137.49230786,2.81969947,4.93307463,0.1,20180423 14:15:39.854019,20180423 14:14:38.000000,1
