"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
2,0.0,0.0,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20000101 00:00:00.000000,1
10,1394.01,1.5,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.367291,2
11,1397.0,0.01,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.368053,2
12,1397.5,5.366,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.368634,2
13,1397.73,3.201,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.375440,2
14,1398.0,0.01,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.376113,2
15,1398.64,1.0,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.376698,2
16,1399.0,0.01,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.377296,2
17,1399.72,0.9,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.377980,2
18,1399.73,0.9,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.378595,2
19,1399.83,2.642,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.379211,2
20,1400.0,0.01,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.380219,2
21,1400.8,0.03,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.380786,2
22,1400.88,0.03983452,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.381374,2
23,1401.0,0.01,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.384930,2
24,1401.73,10.0,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.385584,2
25,1401.89,2.62546548,1394.01,1394.0,1393.41,1393.01,1393.0,1394.02,1397.0,1397.5,1397.73,1398.0,47.96271548,5.12041,4.474,0.499743,2.26332647,1.5,0.01,5.366,3.201,0.01,20180423 14:15:36.332337,20180423 14:15:37.386184,2
26,1401.89,2.62546548,1394.02,1394.01,1394.0,1393.42,1393.0,1395.07,1399.71,1399.72,1401.72,1401.89,56.0,1.2,5.12041,47.9966593,2.26332647,1.5,2.8,5.0,1.2,0.26353452,20180423 14:15:37.453302,20180423 14:15:37.386184,1
30,1396.69,0.03995,1394.02,1394.01,1394.0,1393.42,1393.0,1395.07,1399.71,1399.72,1401.72,1401.89,56.0,1.2,5.12041,47.9966593,2.26332647,1.5,2.8,5.0,1.2,0.26353452,20180423 14:15:37.453302,20180423 14:15:37.606044,2
36,1396.69,0.03995,1396.69,1396.0,1395.0,1394.04,1394.03,1396.7,1398.95,1399.66,1399.69,1401.0,4.02e-06,0.04,0.01,1.8,47.86590317,2.6,2.231,2.8,20.0,0.07441106,20180423 14:15:38.560444,20180423 14:15:37.606044,1
