"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
3,0.0,0.0,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20000101 00:00:00.000000,1
5,644.43,5.99639717,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20180423 14:15:36.437123,2
7,644.43,0.01,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20180423 14:15:36.780146,2
8,644.43,0.0107,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20180423 14:15:36.780861,2
9,644.43,1.77822595,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20180423 14:15:36.781782,2
29,644.43,2.08580394,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20180423 14:15:37.592501,2
31,644.43,0.01097,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20180423 14:15:37.618612,2
32,644.42,0.89986701,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20180423 14:15:37.967636,2
33,644.42,3.92073299,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20180423 14:15:38.063009,2
34,644.42,1.07926701,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20180423 14:15:38.067846,2
35,644.42,0.61511336,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20180423 14:15:38.185549,2
38,644.42,1.35883941,644.43,644.42,644.41,644.36,644.35,644.44,644.49,644.5,644.51,644.66,13.4828,33.10054,24.22929,39.20388,16.38091,108.05323065,5.0,193.0,20.0,0.1,20180423 14:15:36.337975,20180423 14:15:38.669890,2
41,644.42,1.35883941,644.42,644.41,644.36,644.35,644.34,644.43,644.44,644.49,644.5,644.51,37.49712022,1.48579,39.20388,11.64261,15.79456,100.72357922,44.8752,5.0,193.0,20.0,20180423 14:15:39.737447,20180423 14:15:38.669890,1
