"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
1,0.0,0.0,8895.79,8894.82,8893.63,8891.96,8890.5,8898.15,8898.17,8899.29,8900.06,8901.58,0.03,0.2063,0.0969,0.0975,0.228,2.7227,7.6322,2.81,0.1012,0.4766,20180423 14:14:38.083000,20000101 00:00:00.000000,1
3,8898.15,0.0036,8895.79,8894.82,8893.63,8891.96,8890.5,8898.15,8898.17,8899.29,8900.06,8901.58,0.03,0.2063,0.0969,0.0975,0.228,2.7227,7.6322,2.81,0.1012,0.4766,20180423 14:14:38.083000,20180423 14:14:37.568000,2
5,8898.15,0.01,8895.79,8894.82,8893.63,8891.96,8890.5,8898.15,8898.17,8899.29,8900.06,8901.58,0.03,0.2063,0.0969,0.0975,0.228,2.7227,7.6322,2.81,0.1012,0.4766,20180423 14:14:38.103000,20180423 14:14:38.573000,2
7,8898.15,0.01,8895.79,8894.82,8893.63,8891.96,8890.5,8898.15,8898.17,8899.29,8900.06,8901.58,0.03,0.2063,0.0969,0.0975,0.228,2.7227,7.6322,2.81,0.1012,0.4766,20180423 14:14:38.103000,20180423 14:14:38.658000,2
9,8898.15,0.01,8894.82,8893.63,8891.98,8891.96,8890.5,8898.15,8898.17,8899.29,8901.58,8901.59,0.2063,0.0969,0.491,0.0975,0.228,2.7027,7.6322,2.81,0.4766,2.8852,20180423 14:14:39.094000,20180423 14:14:38.658000,1
11,8894.82,0.0184,8894.82,8893.63,8891.98,8891.96,8890.5,8898.15,8898.17,8899.29,8901.58,8901.59,0.2063,0.0969,0.491,0.0975,0.228,2.7027,7.6322,2.81,0.4766,2.8852,20180423 14:14:39.094000,20180423 14:14:39.266000,2
13,8898.15,0.001,8894.82,8893.63,8891.98,8891.96,8890.5,8898.15,8898.17,8899.29,8901.58,8901.59,0.2063,0.0969,0.491,0.0975,0.228,2.7027,7.6322,2.81,0.4766,2.8852,20180423 14:14:39.094000,20180423 14:14:39.401000,2
15,8894.82,0.145,8894.82,8893.63,8891.98,8891.96,8890.5,8898.15,8898.17,8899.29,8901.58,8901.59,0.2063,0.0969,0.491,0.0975,0.228,2.7027,7.6322,2.81,0.4766,2.8852,20180423 14:14:39.094000,20180423 14:14:39.445000,2
17,8894.82,0.145,8894.82,8893.63,8891.96,8890.5,8890.25,8898.14,8898.15,8898.17,8899.29,8901.58,0.0429,0.0969,0.0975,0.228,0.097,0.0113,2.7017,7.6322,2.81,0.4766,20180423 14:14:40.121000,20180423 14:14:39.445000,1
19,8898.14,0.0021,8894.82,8893.63,8891.96,8890.5,8890.25,8898.14,8898.15,8898.17,8899.29,8901.58,0.0429,0.0969,0.0975,0.228,0.097,0.0113,2.7017,7.6322,2.81,0.4766,20180423 14:14:40.121000,20180423 14:14:40.225000,2
21,8898.14,0.001,8894.82,8893.63,8891.96,8890.5,8890.25,8898.14,8898.15,8898.17,8899.29,8901.58,0.0429,0.0969,0.0975,0.228,0.097,0.0113,2.7017,7.6322,2.81,0.4766,20180423 14:14:40.121000,20180423 14:14:40.314000,2
