"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
2,0.0,0.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20000101 00:00:00.000000,1
303,8909.0,38.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:14.000000,2
304,8908.85,32.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:14.000000,2
305,8908.85,2.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:15.000000,2
306,8908.85,144.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:15.000000,2
307,8908.74,2.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:15.000000,2
308,8908.74,38.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:15.000000,2
309,8908.69,108.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:15.000000,2
310,8908.69,70.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:15.000000,2
311,8908.69,8.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:15.000000,2
312,8908.69,260.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:16.000000,2
313,8908.69,4.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:16.000000,2
314,8908.69,34.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:16.000000,2
315,8908.13,6.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:20.000000,2
316,8908.1,40.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:20.000000,2
317,8907.0,62.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:21.000000,2
318,8907.0,24.0,8888.0,8887.45,8887.41,8886.51,8886.28,9143.17,9140.0,9139.99,9138.4,9138.0,1086.0,16.0,3.0,37.0,27.0,16.0,238.0,91.0,182.0,45.0,20180423 14:14:38.269000,20180423 22:14:21.000000,2
